           1          12   113.3362    
           2           3   107.7265    
           3           1   33.90768    
           4          12   46.39487    
           5          14   83.51382    
           6          14   18.05066    
           7          14   37.38852    
           8          14   46.16446    
           9          12   10.99449    
          10          12   107.0637    
          11           1   12.13027    
          12           1   40.64302    
          13           1   5.836182    
          14           1   50.28034    
          15           1   122.6037    
          16          14   51.53288    
          17          14   29.36960    
          18          14   22.58530    
          19          11   15.16043    
          20          11   47.80460    
          21          11   79.35129    
          22          14   41.89759    
          23          14   55.73986    
          24          14   90.89177    
          25          14   18.52525    
          26          14   40.35403    
          27          14   103.8858    
          28          14   83.86353    
          29          14   43.07428    
          30          14   49.46050    
          31          14   69.75018    
          32          14   37.74275    
          33          14   40.32510    
          34          14   99.03222    
          35          14   96.88524    
          36          14   72.61708    
          37          14   156.6075    
          38          14   140.4515    
          39          14   122.4283    
          40          14   129.8429    
          41          14   59.91607    
          42           1   18.04340    
          43           8   28.00000    
          44           1   71.88553    
          45           1   75.33424    
          46           8   58.19690    
          47          12   59.88267    
          48           1   129.6969    
          49           8   52.74781    
          50           1   60.66113    
          51          12   126.4779    
          52          12   26.10335    
          53           1   59.40650    
          54           1   29.86935    
          55           1   112.9786    
          56           1   54.58017    
          57          12   100.8872    
          58           1   111.8231    
          59           1   53.99301    
          60          12   119.9150    
          61           1   130.2727    
          62           1   61.91867    
          63          12   96.66219    
          64           1   106.4576    
          65           1   51.14838    
          66          12   104.9083    
          67           1   115.5437    
          68           1   55.51541    
          69          12   100.4297    
          70           1   110.8046    
          71           1   53.31091    
          72          12   113.8897    
          73           1   126.0502    
          74           1   60.79370    
          75          12   109.4249    
          76          12   10.11098    
          77           1   11.15549    
          78           1   5.367188    
          79          12   12.43336    
          80           1   13.71779    
          81           1   6.599976    
          82          12   27.12749    
          83           1   29.92988    
          84           1   14.40003    
          85          12   44.13319    
          86           1   48.69236    
          87           1   23.42712    
          88          12   59.47213    
          89           1   65.61588    
          90           1   31.56946    
          91          12   63.49923    
          92           1   70.05899    
